thai,english,category
สวัสดี,hello,greetings
ขอบคุณ,thank you,greetings
ครับ,polite particle (male),grammar
ค่ะ,polite particle (female),grammar
ผม,I (male),pronouns
ฉัน,I (female),pronouns
คุณ,you,pronouns
กิน,eat,verbs
ดื่ม,drink,verbs
ไป,go,verbs
มา,come,verbs
นอน,sleep,verbs
พูด,speak,verbs
ซื้อ,buy,verbs
ขาย,sell,verbs
ทำงาน,work,verbs
น้ำ,water,food
ข้าว,rice,food
อาหาร,food,food
ตลาด,market,places
บ้าน,house,places
โรงเรียน,school,places
รถ,car,transport
คน,person,people
เพื่อน,friend,people
หมา,dog,animals
แมว,cat,animals
เงิน,money,daily
วันนี้,today,time
พรุ่งนี้,tomorrow,time
ดี,good,adjectives
ใหญ่,big,adjectives
เล็ก,small,adjectives
ร้อน,hot,adjectives
หนาว,cold,adjectives
รัก,love,verbs
